baseline,year1,prod,HDD50,event_Y1,CDD60,temp,prod_Y1,HDD_Y1,CDD_Y1,temp_Y1
1,0,135233.8,0,0,392.3,71.7,0,0,0,0
1,0,114336.6,0,0,86,62.9,0,0,0,0
1,0,131636.2,101.7,0,22.9,50.5,0,0,0,0
1,0,81601.8,237,0,1.4,42.1,0,0,0,0
1,0,107756.2,661.2,0,0,27.7,0,0,0,0
1,0,96678,512.1,0,0,34.9,0,0,0,0
1,0,72273,401.2,0,0,36.9,0,0,0,0
1,0,27977.8,220.8,0,0,43.3,0,0,0,0
1,0,96657,40.1,0,7.3,51.7,0,0,0,0
1,0,96355.6,0,0,132.4,62.2,0,0,0,0
1,0,99580.6,0,0,318.1,69.8,0,0,0,0
1,0,106315.4,0,0,529.6,76.7,0,0,0,0
1,0,95867.8,0,0,461.1,73.6,0,0,0,0
1,0,104961.6,0,0,179.4,65.6,0,0,0,0
1,0,123299.6,85.8,0,1.6,49,0,0,0,0
1,0,137386.8,247.7,0,0,41.4,0,0,0,0
1,0,132558.8,729.3,0,0,27.5,0,0,0,0
1,0,68049.6,341.9,0,0,39.5,0,0,0,0
1,0,69201.2,250,0,0,41.9,0,0,0,0
1,0,90859.4,125.7,0,0,47,0,0,0,0
1,0,102334.6,31.5,0,13,53.4,0,0,0,0
1,0,99957.8,11.9,0,53.8,57.2,0,0,0,0
1,0,94910.8,0,0,200.9,66.1,0,0,0,0
1,0,101735.8,0,0,460.2,73.8,0,0,0,0
0,1,116179.4,0,0,406.9,73.1,116179.4,0,406.9,73.1
0,1,139019.4,0,0,137.4,64.8,139019.4,0,137.4,64.8
0,1,108121.2,53.7,0,22.4,53,108121.2,53.7,22.4,53
0,1,123169,401,1,0,38,123169,401,0,38
0,1,123522.6,434.4,1,0,33,123522.6,434.4,0,33
0,1,122915.8,447.4,1,0,37,122915.8,447.4,0,37
0,1,92266.2,366.8,1,0,38,92266.2,366.8,0,38
0,1,14313.2,157.6,1,1.7,46,14313.2,157.6,1.7,46
0,1,27073.4,61.7,1,0,48,27073.4,61.7,0,48
0,1,90646.6,0.8,1,24.8,57,90646.6,0.8,24.8,57
0,1,112353,0,1,191.1,66,112353,0,191.1,66
0,1,100503.8,0,1,358,71,100503.8,0,358,71
